Date,Constructor,RC,RE,RS,W,PD,PP,FL,FR,DNF,Q3,BS,BR,PF,PTS,PTSCS,WC,Podium ,Win,Retirement,Avgptspergp,Avgpodiumspergp,Avgwinspergp,Avgpolepergp,Avgpointsfinishpergp,AvgfrontrowstartperGP
2007,McLaren,17,17,17,4,12,6,2,12,1,17,1,1,15,109,265,2nd,71%,24%,6%,6.41,1.42,4.25,2.83,15.59,1.42
2008,McLaren,18,18,18,5,10,7,1,9,1,17,1,1,14,98,243,WC,56%,28%,6%,5.44,1.8,3.6,2.57,13.5,2
2009,McLaren,17,17,17,2,5,4,â€“,4,3,9,1,1,8,49,123,5th,29%,12%,18%,2.88,3.4,8.5,4.25,7.24,4.25
2010,McLaren,19,19,19,3,9,1,5,4,4,17,1,1,15,240,240,4th,47%,16%,21%,12.63,2.11,6.33,19,12.63,4.75
2011,McLaren,19,19,19,3,6,1,3,8,3,19,1,1,16,227,227,5th,32%,16%,16%,11.95,3.17,6.33,19,11.95,2.38
2012,McLaren,20,20,20,4,7,7,1,11,6,20,1,1,14,190,190,4th,35%,20%,30%,9.50,2.86,5,2.86,9.5,1.82
2013,Mercedes,19,19,19,1,5,5,1,9,1,18,1,1,17,189,189,4th,26%,5%,5%,9.95,3.8,19,3.8,9.95,2.11
2014,Mercedes,19,19,19,11,16,7,7,15,3,17,1,1,16,384,384,WC,84%,58%,16%,20.21,1.19,1.73,2.71,20.21,1.27
2015,Mercedes,19,19,19,10,17,11,8,18,1,19,1,1,18,381,381,WC,90%,53%,5%,20.05,1.12,1.9,1.73,20.05,1.06
2016,Mercedes,21,21,21,10,17,12,3,15,2,19,1,1,19,380,380,2nd,81%,48%,10%,18.10,1.24,2.1,1.75,18.1,1.4
2017,Mercedes,20,20,20,9,13,11,7,13,0,18,1,1,20,363,363,WC,65%,45%,0%,18.15,1.54,2.22,1.82,18.15,1.54
2018,Mercedes,21,21,21,11,17,11,3,14,1,20,1,1,20,408,408,WC,81%,52%,5%,19.43,1.24,1.91,1.91,19.43,1.5
2019,Mercedes,21,21,21,11,17,5,6,13,0,21,1,1,21,413,413,WC,81%,52%,0%,19.67,1.24,1.91,4.2,19.67,1.62
2020,Mercedes,17,16,16,11,14,10,6,13,0,16,1,1,16,347,347,WC,82%,69%,0%,21.69,1.14,1.45,1.6,21.69,1.31
2021,Mercedes,23,11,11,4,8,3,3,9,0,10,1,1,10,195,195,1st,35%,36%,0%,17.73,1.38,2.75,3.67,17.73,1.22
,,,,,,,,,,,,,,,3973,,,,,,,,,,,
,,,,,,,,,,,,,,,14.34,,,,,,,,,,,
