Year,Constructor,RE,RS,W,PD,PP,FL,FR,DNF,Q3,BS,BR,PF,PTS,WC
2007,McLaren,17,17,4,12,6,2,12,1,17,1,1,15,109,2nd
2008,McLaren,18,18,5,10,7,1,9,1,17,1,1,14,98,WC
2009,McLaren,17,17,2,5,4,â€“,4,3,9,1,1,8,49,5th
2010,McLaren,19,19,3,9,1,5,4,4,17,1,1,15,240,4th
2011,McLaren,19,19,3,6,1,3,8,3,19,1,1,16,227,5th
2012,McLaren,20,20,4,7,7,1,11,6,20,1,1,14,190,4th
2013,Mercedes,19,19,1,5,5,1,9,1,18,1,1,17,189,4th
2014,Mercedes,19,19,11,16,7,7,15,3,17,1,1,16,384,WC
2015,Mercedes,19,19,10,17,11,8,18,1,19,1,1,18,381,WC
2016,Mercedes,21,21,10,17,12,3,15,2,19,1,1,19,380,2nd
2017,Mercedes,20,20,9,13,11,7,13,0,18,1,1,20,363,WC
2018,Mercedes,21,21,11,17,11,3,14,1,20,1,1,20,408,WC
2019,Mercedes,21,21,11,17,5,6,13,0,21,1,1,21,413,WC
2020,Mercedes,16,16,11,14,10,6,13,0,16,1,1,16,347,WC
2021,Mercedes,11,11,4,8,3,3,9,0,10,1,1,10,195,1st
